- Kategori: START | Pasal: 5.1.5.2 | Deskripsi: Mengundurkan diri tanpa alasan setelah Team Leaders Meeting/ dari penyisihan/semi final/final
- Kategori: START | Pasal: 4.1.1/4.1.3 | Deskripsi: Menghambat start gaya bebas, dada, kupu-kupu, ganti perorangan (termasuk tidak melepas baju)
- Kategori: START | Pasal: 4.2.1 | Deskripsi: Menghambat start gaya punggung dan ganti estafet (termasuk tidak melepas baju)
- Kategori: START | Pasal: 4.4 | Deskripsi: Melakukan start sebelum tanda start
- Kategori: START | Pasal: 2.6.1α | Deskripsi: Pakaian tidak sesuai dengan yang diizinkan
- Kategori: START | Pasal: 2.6.1b | Deskripsi: Atlet tidak hadir saat dipanggil
- Kategori: START | Pasal: 3.5 | Deskripsi: Tidak lapor ke Call Room Judges
- Kategori: START | Pasal: 11.5 | Deskripsi: Tidak lapor ke Call Room Judges
- Kategori: GAYA BEBAS | Pasal: 5.2 a | Deskripsi: Tidak menyentuh dinding saat pembalikan
- Kategori: GAYA BEBAS | Pasal: 5.2 b | Deskripsi: Tidak menyentuh dinding saat finish
- Kategori: GAYA BEBAS | Pasal: 5.3 a | Deskripsi: Tidak memecah permukaan air selama lomba (menyelam)
- Kategori: GAYA BEBAS | Pasal: 5.3 b | Deskripsi: Kepala tidak memecah permukaan air sebelum tanda 15 meter setelah start
- Kategori: GAYA BEBAS | Pasal: 5.3 c | Deskripsi: Kepala tidak memecah permukaan air sebelum tanda 15 meter setelah pembalikan
- Kategori: GAYA BEBAS | Pasal: 5.4 | Deskripsi: Sebagian kepala belum melewati batas 5 meter, Atlet menyelam sepenuhnya saat finish
- Kategori: GAYA BEBAS | Pasal: 11.6 | Deskripsi: Sebagian kepala belum melewati batas 5 meter, Atlet menyelam sepenuhnya saat finish
- Kategori: GAYA PUNGGUNG | Pasal: 6.1 a | Deskripsi: Tidak segera mendekat ke grip setelah peluit panjang kedua
- Kategori: GAYA PUNGGUNG | Pasal: 6.1 b | Deskripsi: Memegang grip start dengan satu tangan
- Kategori: GAYA PUNGGUNG | Pasal: 6.1 c | Deskripsi: Berdiri/ menekuk kaki di atas gutter (parit)
- Kategori: GAYA PUNGGUNG | Pasal: 6.1 c | Deskripsi: Salah satu kaki dari kedua kaki tidak menyentuh dinding/touchpad
- Kategori: GAYA PUNGGUNG | Pasal: 6.1 d | Deskripsi: Menekuk jari kaki di atas touchpad
- Kategori: GAYA PUNGGUNG | Pasal: 6.2 a | Deskripsi: Meninggalkan posisi telentang (kecuali saat pembalikan) saat lomba
- Kategori: GAYA PUNGGUNG | Pasal: 6.2 b | Deskripsi: Melakukan tolakan saat start posisi badan tidak telentang
- Kategori: GAYA PUNGGUNG | Pasal: 6.2 c | Deskripsi: Melakukan tolakan setelah pembalikan posisi badan tidak telentang
- Kategori: GAYA PUNGGUNG | Pasal: 6.3 a | Deskripsi: Bagian tubuh Atlet tidak mernecah permukaan air selama lomba
- Kategori: GAYA PUNGGUNG | Pasal: 6.3 b | Deskripsi: Kepala tidak memecah permukaan air sebelum tanda 15 meter setelah start
- Kategori: GAYA PUNGGUNG | Pasal: 6.3 c | Deskripsi: Kepala tidak memecah permukaan air sebelum tanda 15 meter setelah pembalikan
- Kategori: GAYA PUNGGUNG | Pasal: 6.4 a | Deskripsi: Saat pembalikan, tidak menyentuh dinding
- Kategori: GAYA PUNGGUNG | Pasal: 6.4 b | Deskripsi: Setelah telungkup saat membalik, tidak langsung berkelanjutan melakukan pembalikan
- Kategori: GAYA PUNGGUNG | Pasal: 6.4 c | Deskripsi: Saat meninggalkan dinding setelah pembalikan posisi badan tidak telentang
- Kategori: GAYA PUNGGUNG | Pasal: 6.4 d | Deskripsi: Setelah telungkup memulai pembalikan dengan melakukan tarikan tangan lebih dari 1 kali
- Kategori: GAYA PUNGGUNG | Pasal: 6.5 a | Deskripsi: Saat finish, tidak menyentuh dinding
- Kategori: GAYA PUNGGUNG | Pasal: 6.5 b | Deskripsi: Sesaat sebelum finish Atlet menyelam ketika sebagian kepala belum melewati tanda 5 meter
- Kategori: GAYA PUNGGUNG | Pasal: 6.5 c | Deskripsi: Saat finish, menyentuh dinding dengan tidak telentang
- Kategori: GAYA DADA | Pasal: 11.7 | Deskripsi: Setelah start melakukan tarikan lengan ke belakang melebihi pinggang lebih dari 1 kali
- Kategori: GAYA DADA | Pasal: 7.1 a | Deskripsi: Setelah start melakukan tarikan lengan ke belakang melebihi pinggang lebih dari 1 kali
- Kategori: GAYA DADA | Pasal: 7.1 b | Deskripsi: Setelah pembalikan melakukan tarikan lengan ke belakang melebihi pinggang lebih dari 1 kali
- Kategori: GAYA DADA | Pasal: 7.1 c | Deskripsi: Melakukan tendangan kaki kupu-kupu 1x atau lebih setelah gerakan kaki dada pertama setelah start
- Kategori: GAYA DADA | Pasal: 7.1 d | Deskripsi: Melakukan tendangan kaki kupu-kupu 1x atau lebih setelah gerakan kaki dada pertama setelah turn
- Kategori: GAYA DADA | Pasal: 7.1 e | Deskripsi: Melakukan tendangan kaki kupu-kupu lebih dari 1 x sebelum kaki dada pertama setelah start
- Kategori: GAYA DADA | Pasal: 7.1 f | Deskripsi: Melakukan tendangan kaki kupu-kupu lebih dari 1 x sebelum kaki dada pertama setelah turn
- Kategori: GAYA DADA | Pasal: 7.1 g | Deskripsi: Kepala tidak memecah permukaan air saat tarikan tangan kedua setelah start
- Kategori: GAYA DADA | Pasal: 7.1 h | Deskripsi: Kepala tidak memecah permukaan air saat tarikan tangan kedua setelah pembalikan
- Kategori: GAYA DADA | Pasal: 7.2 a | Deskripsi: Gerakan setelah start tidak diawali dengan gerakan lengan
- Kategori: GAYA DADA | Pasal: 7.2 b | Deskripsi: Gerakan setelah start diawali dengan gerakan lengan selain gaya dada
- Kategori: GAYA DADA | Pasal: 7.2 c | Deskripsi: Gerakan setelah pembalikan tidak diawali dengan gerakan lengan
- Kategori: GAYA DADA | Pasal: 7.2 d | Deskripsi: Gerakan setelah pembalikan diawali dengan gerakan lengan selain gaya dada
- Kategori: GAYA DADA | Pasal: 7.2 e | Deskripsi: Posisi badan tidak telungkup
- Kategori: GAYA DADA | Pasal: 7.3 a | Deskripsi: Meninggalkan dinding setelah pembalikan, posisi badan tidak telungkup
- Kategori: GAYA DADA | Pasal: 7.3 b | Deskripsi: Siklus gerakan tidak sekali tarikan tangan dan sekali tedangan kaki
- Kategori: GAYA DADA | Pasal: 7.3 b | Deskripsi: Gerakan tangan tidak bersamaan
- Kategori: GAYA DADA | Pasal: 7.4 a | Deskripsi: Tangan tidak didorong ke depan bersama-sama dari dada
